st_name,year,ac_no,ac_name,ac_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Maharashtra,2014.0,193,Shrivardhan,GEN,None Of The Above,,NOTA,NOTA,3562.0,241067
Maharashtra,1985.0,32,,GEN,Dada Samant,M,Independent,IND,14608.0,120040
Maharashtra,2014.0,100,Ghansawangi,GEN,Hikmat Udhan,M,SHS,SHS,45657.0,283562
Maharashtra,1999.0,200,,GEN,Andhale Keshavrao Yadavrao,M,Bharatiya Janata Party,BJP,42632.0,178826
Maharashtra,1999.0,123,,GEN,Deshmukh Satish Baburao,M,Independent,IND,439.0,155379
Maharashtra,2004.0,262,Wai,GEN,Kondhalkar Kumudini Ramchandra,F,Womanist Party of India,WPI,1278.0,169614
Maharashtra,1995.0,6,,GEN,Suhas Waman Alias Kumar Shetye,M,Independent,IND,29860.0,175354
Maharashtra,1995.0,229,,GEN,Patil Ashok Deochand,M,Doordarshi Party,DDP,72.0,193818
Maharashtra,2004.0,56,Ambernath,GEN,Sabirbhai Shaikh,M,Shivsena,SHS,106582.0,545810
Maharashtra,1990.0,238,,GEN,Bhalarao Kacharu Bhamaji,M,Independents,IND,209.0,168434
Maharashtra,2004.0,205,Her,SC,Shirsat Harshichandra Maroti,M,Independent,IND,1363.0,166160
Maharashtra,2009.0,170,Ghatkopar East,GEN,Amar Ajit Hingwalla,M,AHNP,AHNP,455.0,240852
Maharashtra,2009.0,9,Shirpur,ST,Kashiram Vechan Pawara,M,INC,INC,92088.0,268703
Maharashtra,2009.0,196,Ambegaon,GEN,Diliprao Dattatry Walse Patil,M,NCP,NCP,99851.0,249218
Maharashtra,2009.0,171,Mankhurd Shivaji Nagar,GEN,Abdul Sattar Merchant,M,IND,IND,423.0,270843
Maharashtra,2014.0,272,Radhanagari,GEN,Patil Jalandar Ganapati,M,SWP,SWP,5942.0,308307
Maharashtra,2014.0,223,Rahuri,GEN,Lambe Suryabhan Dattatray,M,BSP,BSP,956.0,272556
Maharashtra,1995.0,107,,GEN,Gupta Pushkarmal Holkarmal,M,Independent,IND,320.0,190470
Maharashtra,2009.0,102,Badnapur,SC,Magre Prakash Pandit,M,IND,IND,814.0,245459
Maharashtra,1995.0,178,,GEN,Kuldipake Gamrao Dhanaji,M,Independent,IND,336.0,233342
